categoria,archivo,nombre_visible,url
Reglamentarias,Reglamentarias\Pare.png,Pare,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr01_pare.png
Reglamentarias,Reglamentarias\Ceda El Paso.png,Ceda El Paso,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr02_ceda_el_paso.png
Reglamentarias,Reglamentarias\Siga De Frente.png,Siga De Frente,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr03_siga_de_frente.png
Reglamentarias,Reglamentarias\No Pase.png,No Pase,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr04_no_pase.png
Reglamentarias,Reglamentarias\Giro Izquierda.png,Giro Izquierda,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr05_giro_izquierda.png
Reglamentarias,Reglamentarias\Giro Derecha.png,Giro Derecha,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr06_giro_derecha.png
Reglamentarias,Reglamentarias\Prohibido Girar Izquierda.png,Prohibido Girar Izquierda,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr06_prohibido_girar_izquierda.png
Reglamentarias,Reglamentarias\Prohibido Girar Derecha.png,Prohibido Girar Derecha,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr08_prohibido_girar_derecha.png
Reglamentarias,Reglamentarias\Prohibido Girar En U.png,Prohibido Girar En U,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr10_prohibido_girar_en_u.png
Reglamentarias,Reglamentarias\Doble Via.png,Doble Via,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr11_doble_via.png
Reglamentarias,Reglamentarias\Tres Carriles Uno Contraflujo.png,Tres Carriles Uno Contraflujo,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr12_tres_carriles_uno_contraflujo.png
Reglamentarias,Reglamentarias\Tres Carriles Dos Contraflujo.png,Tres Carriles Dos Contraflujo,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr13_tres_carriles_dos_contraflujo.png
Reglamentarias,Reglamentarias\Phohibido Cambio Calzada.png,Phohibido Cambio Calzada,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr14_phohibido_cambio_calzada.png
Reglamentarias,Reglamentarias\Circulacion Prohibida Automotores.png,Circulacion Prohibida Automotores,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr16_circulacion_prohibida_automotores.png
